,listing_id,id,date,reviewer_id,reviewer_name,comments,polarity_value,neg,pos,neu,compound
0,9835,279854,2011/5/24,560832,Miriam,"Very hospitable, much appreciated.
","{'neg': 0.0, 'neu': 0.457, 'pos': 0.543, 'compound': 0.552}",0.0,0.543,0.457,0.552
1,9835,3640746,2013/2/26,5143343,Michelle,"A beautiful house in a lovely quiet neighbourhood, which was only a 5 minute walk to our seminar venue at the Manningham Hotel.Nice parks around for a quick morning walk, buses & shops only a block away. Rate very reasonable too. Manju is a lovely lady who made me feel most welcome & comfortable. Will definitely stay again!
I also recommend Doncaster Shopping Town - WOW.","{'neg': 0.038, 'neu': 0.595, 'pos': 0.367, 'compound': 0.9788}",0.038,0.367,0.595,0.9788
2,9835,23731188,2014/12/8,2478713,Karyn,"This was my first time using airbnb and it was great. I was going to a party in an area that didn't have much accommodation around and which was booked being Xmas anyway (and I would have needed to get a cab too) - so it was great to find a room within walking distance.

Manju the host was lovely and the room was as described. A very pleasant and easy experience as a whole.","{'neg': 0.0, 'neu': 0.74, 'pos': 0.26, 'compound': 0.97}",0.0,0.26,0.74,0.97
3,10803,3333588,2013/1/12,4421189,Johannes,"It was very convenient  to stay in Lindsay's appartment in Brunswick for a couple of weeks, not only is Lindsay a great host giving you valuable tips the appartment also is in a very interesting part of Melbourne and the CBD is not far away. Highly recommended!","{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.9322}",0.0,0.277,0.723,0.9322
4,10803,3369053,2013/1/18,1763045,Julie,"Perfect isnt enough! Lindsay was the best host we could ever imagine help us a lot to handle our new start in australia. His place have a perfect location few second to the tram and 10 minute to cbd , close to a lot of restaurant and 2 park. The room is pretty big and really sunny , we very felt like home during the two time we were there. Thanks again lindsay wish you all the best.
julie and pierre","{'neg': 0.0, 'neu': 0.66, 'pos': 0.34, 'compound': 0.9866}",0.0,0.34,0.66,0.9866
5,10803,3403930,2013/1/23,4423532,Ivonne,Living with Lindsay was very relaxed. The room is choosen in fantastic colours and the colours of the sheets fits very cool together with it too. Lindsay is a very helpfull person and he helped me a lot organisating my journey! ,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.8744}",0.0,0.217,0.783,0.8744
6,10803,3514479,2013/2/11,4551787,Jess,"Beautiful home, great location very friendly and helpful throughout my stay!","{'neg': 0.0, 'neu': 0.32, 'pos': 0.68, 'compound': 0.9418}",0.0,0.68,0.32,0.9418
7,10803,3662039,2013/3/1,632036,Yvonne And Pip,"It was great staying at Lindsay's apartment. He's friendly and fun to hang out with over a bevie! The location could not have been betters itch the tram at the door step and CERES just around the corner. 

Thank you Lindsay for providing a great spacewith such positive vibe!!!","{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.9718}",0.0,0.349,0.651,0.9718
8,10803,3908291,2013/3/26,2553303,Thomas,"Lindsay was an excellent host, his apartment is in a great location, only a few metres from the end of the Tram 96 stop. Room was spacious enough, my sleep wasn't disturbed by the passing traffic although I would advise very light sleepers to bring earplugs because of the non-stop beeping from the pedestrian crossing button. I enjoyed my time here.","{'neg': 0.033, 'neu': 0.771, 'pos': 0.197, 'compound': 0.9018}",0.033,0.197,0.771,0.9018
9,10803,4046614,2013/4/5,5610658,Meredith,"Lovely room and home, and very gracious hosts. Lots of character, and I was made to feel right at home. Very close to tram stop and local cafe's, and walking distance from many restaurants. I would highly recommend staying with Lindsay!","{'neg': 0.046, 'neu': 0.73, 'pos': 0.225, 'compound': 0.8617}",0.046,0.225,0.73,0.8617
